tol_mult,families,cap,mode,n,nz,hod7.5,lod7.5,rand7.5,hod10,lod10,rand10,min10,min7.5,lift10
1.0,base,0,snap,313,27.0958,0.4537,0.5815,0.5158,0.5527,0.6869,0.6864,0.5527,0.4537,-0.0666000000000001
1.5,cam+pdc+piv,30,mean,313,22.7348,0.4537,0.5559,0.4484,0.5495,0.6677,0.5979,0.5495,0.4537,0.010700000000000043
2.0,atr+cam+em+ext+pdc+piv+pw,30,snap,313,23.6038,0.4601,0.5591,0.4667,0.5495,0.6581,0.622,0.5495,0.4601,-0.018199999999999994
1.5,base,0,mean,313,24.7188,0.4441,0.5527,0.47,0.5495,0.6645,0.6267,0.5495,0.4441,-0.01970000000000005
1.5,atr+cam+em+ext+pdc+piv+pw,30,mean,313,23.5559,0.4377,0.5272,0.4661,0.5463,0.639,0.6209,0.5463,0.4377,-0.028249999999999997
0.75,base,45,mean,313,26.2748,0.4505,0.5719,0.5115,0.5463,0.6741,0.6791,0.5463,0.4505,-0.06889999999999996
2.0,base,0,mean,313,23.655,0.4313,0.5399,0.4492,0.5431,0.6613,0.5989,0.5431,0.4313,0.0033000000000000806
1.5,cam+em+pdc+piv,30,mean,313,23.147,0.4473,0.5399,0.4574,0.5431,0.6581,0.6098,0.5431,0.4473,-0.009199999999999986
1.5,base,45,mean,313,23.8594,0.4377,0.5495,0.4591,0.5431,0.6613,0.6121,0.5431,0.4377,-0.009899999999999909
1.5,cam+em+pdc+piv+pw,30,mean,313,23.1565,0.4441,0.5367,0.4577,0.5431,0.6518,0.6102,0.5431,0.4441,-0.012749999999999928
1.5,base,0,snap,313,24.7188,0.4409,0.5655,0.47,0.5431,0.6709,0.6267,0.5431,0.4409,-0.01970000000000005
1.5,cam+em+ext+pdc+piv+pw,30,mean,313,23.3578,0.4505,0.5272,0.4621,0.5431,0.639,0.6156,0.5431,0.4505,-0.02454999999999996
1.0,atr+cam+em+ext+ladder+pdc+piv+pw,30,mean,313,24.1086,0.4505,0.5272,0.4775,0.5431,0.6422,0.6357,0.5431,0.4505,-0.04305000000000003
